
 ##############################################################################
 ##############################################################################
 ##                                                                          ##
 ##             TINKER  ---  Software Tools for Molecular Design             ##
 ##                                                                          ##
 ##                        Version 6.0   October 2011                        ##
 ##                                                                          ##
 ##               Copyright (c)  Jay William Ponder  1990-2011               ##
 ##                            All Rights Reserved                           ##
 ##                                                                          ##
 ##############################################################################
 ##############################################################################


 Smooth Particle Mesh Ewald Parameters :

    Ewald Coefficient      Charge Grid Dimensions      B-Spline Order

          0.5446               64    64    64                 5

 Random Number Generator Initialized with SEED :      123456789

 Molecular Dynamics Trajectory via Modified Beeman Algorithm

    MD Step      E Total   E Potential     E Kinetic       Temp       Pres

         1   -46070.6459   -67402.9436    21332.2977     303.80    -274.49
         2   -46077.5451   -67058.1865    20980.6413     298.79      24.92
         3   -46087.2490   -67079.0818    20991.8329     298.95     -66.02
         4   -46096.6682   -67356.9222    21260.2539     302.77    -452.00
         5   -46073.6521   -67431.5419    21357.8898     304.16    -752.83
         6   -46065.1476   -67162.7841    21097.6365     300.46    -780.46
         7   -46078.9383   -66972.9260    20893.9877     297.55    -707.25
         8   -46087.0373   -67246.2895    21159.2522     301.33    -721.31
         9   -46077.5645   -67609.6676    21532.1032     306.64    -669.36
        10   -46054.1191   -67504.8430    21450.7239     305.48    -349.08
        11   -46045.7566   -67135.9097    21090.1531     300.35      33.70
        12   -46063.4269   -67028.7087    20965.2818     298.57      96.33
        13   -46068.0082   -67265.2748    21197.2666     301.87    -217.50
        14   -46071.9805   -67453.5710    21381.5906     304.50    -601.57
        15   -46058.5490   -67312.0636    21253.5146     302.67    -766.96
        16   -46044.1499   -67102.4544    21058.3045     299.89    -770.48
        17   -46044.8990   -67231.9679    21187.0688     301.73    -814.85
        18   -46049.8260   -67562.4326    21512.6066     306.36    -855.31
        19   -46033.3337   -67589.9185    21556.5848     306.99    -687.60
        20   -46026.6919   -67316.0361    21289.3442     303.19    -381.29
        21   -46046.4335   -67156.6686    21110.2351     300.63    -239.66
        22   -46029.7484   -67274.2082    21244.4598     302.55    -385.63
        23   -46024.9042   -67417.8582    21392.9540     304.66    -647.89
        24   -46025.9143   -67322.0118    21296.0975     303.28    -783.75
        25   -46021.5573   -67127.9879    21106.4306     300.58    -781.99
        26   -46031.1244   -67172.1567    21141.0324     301.07    -801.20
        27   -46040.8207   -67443.6474    21402.8266     304.80    -854.53
        28   -46030.8136   -67546.3065    21515.4929     306.41    -779.75
        29   -46029.9859   -67342.8681    21312.8821     303.52    -559.05
        30   -46057.1189   -67131.7416    21074.6228     300.13    -403.89
        31   -46043.3968   -67142.5969    21099.2001     300.48    -459.76
        32   -46059.9982   -67262.9319    21202.9338     301.95    -641.02
        33   -46070.1911   -67231.3399    21161.1488     301.36    -713.37
        34   -46070.8207   -67061.3916    20990.5709     298.93    -611.27
        35   -46077.9112   -67028.9605    20951.0493     298.37    -482.95
        36   -46081.5561   -67230.9446    21149.3884     301.19    -437.74
        37   -46080.3067   -67426.2758    21345.9691     303.99    -414.68
        38   -46058.6963   -67413.4898    21354.7935     304.12    -341.40
        39   -46066.6641   -67295.6496    21228.9855     302.33    -301.68
        40   -46091.2397   -67267.0260    21175.7863     301.57    -405.65
        41   -46097.0310   -67337.9493    21240.9183     302.50    -615.39
        42   -46093.8890   -67374.5210    21280.6320     303.06    -768.57
        43   -46094.9109   -67339.0400    21244.1292     302.54    -750.28
        44   -46097.8235   -67331.4593    21233.6358     302.39    -590.38
        45   -46086.1859   -67413.7448    21327.5589     303.73    -388.01
        46   -46083.8466   -67512.2744    21428.4278     305.17    -222.74
        47   -46087.1693   -67550.7542    21463.5849     305.67    -140.39
        48   -46078.2432   -67530.0392    21451.7960     305.50    -175.31
        49   -46087.0292   -67480.1271    21393.0978     304.66    -342.26
        50   -46096.0921   -67425.9386    21329.8465     303.76    -592.09
        51   -46082.2737   -67382.0645    21299.7908     303.33    -817.85
        52   -46088.0443   -67336.3471    21248.3028     302.60    -914.94
        53   -46083.3791   -67291.3627    21207.9836     302.03    -839.46
        54   -46097.3338   -67267.6559    21170.3221     301.49    -660.18
        55   -46087.4720   -67272.9799    21185.5079     301.71    -482.57
        56   -46088.7076   -67318.7048    21229.9973     302.34    -401.77
        57   -46078.1944   -67351.0708    21272.8763     302.95    -423.81
        58   -46082.8437   -67315.3813    21232.5376     302.38    -521.46
        59   -46103.7199   -67241.6841    21137.9642     301.03    -674.05
        60   -46116.6087   -67215.3362    21098.7276     300.47    -851.51
        61   -46116.3281   -67271.0748    21154.7467     301.27    -982.71
        62   -46119.6599   -67322.0243    21202.3644     301.95    -980.42
        63   -46113.1166   -67286.4053    21173.2886     301.53    -831.24
        64   -46113.3853   -67229.9616    21116.5762     300.72    -653.29
        65   -46108.3121   -67289.5209    21181.2088     301.65    -577.45
        66   -46120.3690   -67427.5625    21307.1936     303.44    -605.87
        67   -46129.6622   -67462.3343    21332.6721     303.80    -623.13
        68   -46118.6917   -67353.9196    21235.2280     302.41    -578.73
        69   -46119.0227   -67281.2525    21162.2298     301.37    -548.55
        70   -46117.1365   -67395.7239    21278.5874     303.03    -578.42
        71   -46117.7367   -67565.1970    21447.4603     305.44    -585.95
        72   -46113.0278   -67549.1923    21436.1645     305.28    -479.16
        73   -46127.3140   -67408.7144    21281.4005     303.07    -351.17
        74   -46144.6425   -67401.7225    21257.0800     302.73    -374.50
        75   -46156.1554   -67561.6808    21405.5254     304.84    -556.94
        76   -46146.2545   -67645.0801    21498.8256     306.17    -715.28
        77   -46149.0985   -67502.5286    21353.4302     304.10    -720.44
        78   -46142.0009   -67318.1940    21176.1931     301.57    -627.43
        79   -46170.2358   -67359.3438    21189.1080     301.76    -561.16
        80   -46189.3808   -67547.7324    21358.3516     304.17    -480.99
        81   -46180.8243   -67568.1491    21387.3248     304.58    -283.00
        82   -46182.3076   -67394.3129    21212.0053     302.08     -49.73
        83   -46212.0578   -67291.4855    21079.4278     300.20       0.19
        84   -46210.8109   -67387.1071    21176.2962     301.58    -197.53
        85   -46212.4553   -67487.0857    21274.6304     302.98    -475.18
        86   -46210.5740   -67382.3136    21171.7396     301.51    -615.51
        87   -46210.9470   -67182.4871    20971.5401     298.66    -595.94
        88   -46207.2345   -67166.1095    20958.8750     298.48    -530.99
        89   -46214.7642   -67342.6252    21127.8610     300.89    -448.88
        90   -46197.0528   -67413.4927    21216.4399     302.15    -258.70
        91   -46204.5389   -67281.0639    21076.5250     300.15      -5.98
        92   -46197.8939   -67183.7961    20985.9022     298.86     110.47
        93   -46205.6350   -67303.7024    21098.0674     300.46     -45.18
        94   -46214.2621   -67472.9949    21258.7327     302.75    -346.71
        95   -46193.1066   -67412.6346    21219.5280     302.19    -565.91
        96   -46198.0696   -67195.9477    20997.8781     299.03    -662.94
        97   -46210.4456   -67149.4514    20939.0059     298.20    -730.24
        98   -46218.7781   -67326.9671    21108.1890     300.61    -763.19
        99   -46233.6171   -67443.4749    21209.8578     302.05    -643.51
       100   -46226.5956   -67352.0414    21125.4457     300.85    -365.24

 Average Values for the last   100 out of      100 Dynamics Steps

 Simulation Time              0.1000 Picosecond
 Total Energy            -46108.9869 Kcal/mole   (+/-  58.7739)
 Potential Energy        -67333.2443 Kcal/mole   (+/- 143.5819)
 Kinetic Energy           21224.2574 Kcal/mole   (+/- 146.5104)
 Temperature                  302.26 Kelvin      (+/-     2.09)
 Pressure                    -518.20 Atmosphere  (+/-   250.51)
 Density                      0.9957 Grams/cc    (+/-   0.0000)
